name,logFC,P.Value
KCNA6,-6.202741455,6.31E-06
SAMD11,-2.13162275,2.44E-05
PWWP4,2.735087539,7.66E-05
RPL13P8,1.973040916,7.71E-05
AK8,1.867225675,0.000101372
C11orf21,1.907172616,0.000148899
LOC101929719,2.025712178,0.000164871
SST,2.391486686,0.000193834
MSLNL,1.72066611,0.000218638
EPHA5-AS1,2.695156764,0.000243719
NOTUM,-1.713876203,0.000301202
MPO,2.591846445,0.00030124
CAMK1G,1.598138185,0.000307246
ZNF101P2,2.200783943,0.000355641
CDKL5,1.449534777,0.000368007
FLT3,2.183169703,0.000381764
HAUS7,1.301338949,0.0004193
CCDC102A,-1.293629016,0.0004621
FEM1AP2,1.925185523,0.00048286
GSTCD,1.05078049,0.00050084
DBET,1.632683101,0.000573629
ASMTL,0.92826317,0.000588056
ZMYND12,1.622469997,0.000597931
KDM4D,1.497654421,0.000598925
RPH3A,1.764793094,0.000635486
NQO2,1.228312315,0.000643916
C16orf86,1.02487143,0.000664085
SVEP1,1.527877132,0.000720103
CFAP119,1.133256501,0.000747916
VTN,1.538354875,0.000751016
UNC50,1.333690549,0.000766512
FRG1CP,1.283305816,0.000786857
TAC1,2.024758925,0.000799363
PBLD,1.095014509,0.000805603
CFAP20DC-AS1,1.83880289,0.000838674
COG1,1.112381331,0.000854953
ZBED9P1,1.843179228,0.000857266
STEEP1,1.168487017,0.000882089
TARBP1,1.810194237,0.000897653
NELL1,1.651379128,0.000901702
LINC02774,1.543197374,0.000949418
CITED2,1.201177473,0.0009576
KRT18P46,1.60296206,0.000962327
NOXA1,1.435700754,0.000963786
ABCA11P,1.961204485,0.000965786
KRT8P52,1.536925336,0.000975591
CHRM4,1.243634858,0.000982038
TRAPPC6A,0.867494766,0.001000858
PAFAH1B2P2,1.763453127,0.001009187
ALDH1L2,1.287381035,0.001012529
LINC01013,1.335321589,0.001013443
C1QTNF5,-0.843122616,0.001021055
VGF,2.015156005,0.001021698
GXYLT1P6,1.726602536,0.001026954
CDK13-DT,1.098997296,0.001061874
LINC01310,1.88140452,0.001090761
RPS25P3,1.593325673,0.001101985
BDH1,1.047686177,0.001121462
SPDEF,1.528439194,0.00113737
TUBAP7,1.866177677,0.001145357
DOC2A,0.978400069,0.001156448
OSGEP,1.362340626,0.001164379
FAM156B,1.6919116,0.001166295
ATP2B1-AS1,1.014634755,0.00116673
ADGRF2,1.792036183,0.001175426
FAM66C,1.045386027,0.00118721
PCSK1,2.244493303,0.00119366
PCDH8,1.351878499,0.001244116
TMPRSS11BNL,1.449131858,0.001247556
UBXN10,1.349687683,0.001270618
AMMECR1LP1,2.015432362,0.00127826
ZNF891,1.631979574,0.001320963
PCDHB12,0.895300595,0.001335955
HTR2C,1.638657998,0.001346297
FAM218A,1.832444049,0.001352407
ECM1,1.14373251,0.001364969
CROT,1.613487049,0.00140546
PNMA3,1.617985294,0.001416629
TKFC,0.843904962,0.001433911
UPP1,1.058882347,0.001460702
CHTF18,1.007847204,0.001485199
