,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0048568,BP,GO:0048568,embryonic organ development,21/224,449/18903,9.70925035304504e-08,0.000242900040686029,0.000194602420919874,USH1C/TNF/TBX2/TBX15/TBX1/SIX3/SIX2/SIX1/PPP1R13L/MDFI/LIF/KRT19/IGF2/ID3/GRHL3/FOXH1/EOMES/EN2/CXCL8/BMP4/APLNR,21
GO:0007389,BP,GO:0007389,pattern specification process,21/224,472/18903,2.23292441099473e-07,0.000242900040686029,0.000194602420919874,TBX5/TBX2/TBX1/SIX3/SIX2/SIX1/SFRP2/MDFI/IRX1/GSX2/GRHL3/FOXJ1/FOXH1/FOXB1/FEZF1/EOMES/DMRTA2/CFC1B/CFAP45/BMP4/APLNR,21
GO:0021978,BP,GO:0021978,telencephalon regionalization,5/224,13/18903,2.66187698249964e-07,0.000242900040686029,0.000194602420919874,SIX3/GSX2/EOMES/DMRTA2/BMP4,5
GO:0021871,BP,GO:0021871,forebrain regionalization,6/224,24/18903,2.91596687498234e-07,0.000242900040686029,0.000194602420919874,SIX3/GSX2/FEZF1/EOMES/DMRTA2/BMP4,6
GO:0001708,BP,GO:0001708,cell fate specification,10/224,109/18903,6.84505734471949e-07,0.000456154621452107,0.000365454008972813,TBX5/TBX2/TBX15/TBX1/SIX2/SIX1/SFRP2/GSX2/EOMES/DMRTA2,10
GO:0045785,BP,GO:0045785,positive regulation of cell adhesion,20/224,484/18903,1.38673906286312e-06,0.000692534556768622,0.000554832765516278,ZAP70/TNF/SFRP2/LIF/LCK/IL6/IGF2/HLA-DQB2/HLA-DOB/FUT3/ECM2/CR1/COL8A1/CD44/CD3E/CCR7/CCL5/CCDC80/ANXA1/ANGPT1,20
GO:0006959,BP,GO:0006959,humoral immune response,16/224,320/18903,1.45490453102652e-06,0.000692534556768622,0.000554832765516278,TNF/SLPI/SH2D1A/S100A12/PPBP/MASP1/IL6/IFNA13/H2BC8/FOXJ1/FCN3/FCN1/CXCL8/CR1/CCR7/C6,16
GO:0019221,BP,GO:0019221,cytokine-mediated signaling pathway,20/224,496/18903,2.01626735956054e-06,0.000839775355256964,0.000672796582084937,TNF/ST18/PPBP/IL6/IL2RB/IL1RL1/IL1R2/IL18RAP/IL18R1/IFNA13/HSPA1B/GFI1/CXCR6/CXCR1/CXCL8/CD44/CCR7/CCL5/CCL14/ANGPT1,20
GO:0007159,BP,GO:0007159,leukocyte cell-cell adhesion,18/224,414/18903,2.34558327394512e-06,0.000868387052087237,0.000695719202657873,ZC3H12A/ZAP70/TNF/S100A8/LCK/IL6/IGF2/HLA-DQB2/HLA-DOB/FOXJ1/CR1/CD44/CD3E/CD177/CCR7/CCL5/BMP4/ANXA1,18
GO:0097530,BP,GO:0097530,granulocyte migration,11/224,158/18903,2.96122732521159e-06,0.000956667914758126,0.000766446525502814,S100A8/S100A12/PPBP/JAML/CXCR1/CXCL8/CD177/CCR7/CCL5/CCL14/ANXA1,11
GO:0071621,BP,GO:0071621,granulocyte chemotaxis,10/224,130/18903,3.44538264618773e-06,0.000956667914758126,0.000766446525502814,S100A8/S100A12/PPBP/JAML/CXCR1/CXCL8/CCR7/CCL5/CCL14/ANXA1,10
GO:1990266,BP,GO:1990266,neutrophil migration,10/224,130/18903,3.44538264618773e-06,0.000956667914758126,0.000766446525502814,S100A8/S100A12/PPBP/JAML/CXCR1/CXCL8/CD177/CCR7/CCL5/CCL14,10
GO:0030593,BP,GO:0030593,neutrophil chemotaxis,9/224,106/18903,4.7601692945985e-06,0.00122006800689248,0.00097747282033213,S100A8/S100A12/PPBP/JAML/CXCR1/CXCL8/CCR7/CCL5/CCL14,9
