name,logFC
ZC3H12A,-1.591495583
ZAP70,-1.657164448
WDR49,-1.513144688
WDR38,-2.305639223
VIL1,-3.610391908
USH1C,-1.509460455
UPK1B,-3.211023771
UCMA,-6.979699179
UBL4B,-1.711621877
TXNIP,-1.503715964
TSPAN8,-1.972558723
TRPM6,-1.507893067
TRDN,-1.628696702
TRABD2B,-1.598182172
TPTEP2-CSNK1E,-1.749945659
TPSD1,-1.554384163
TNF,-1.53647668
TMEM88B,-2.214502544
TMEM30B,-1.754445232
TJP2,-1.6312598
TGM5,-3.189273777
TGFB2-OT1,-3.143103634
TBX5,-2.884262846
TBX2,-1.624931848
TBX15,-1.572046039
TBX1,-1.969510307
TAS2R20,-1.778959353
STARD5,-3.009674613
ST6GALNAC2,-5.448365908
ST18,-1.534816131
SRPX,-1.731598382
SPTLC3,-1.520705061
SMIM5,-1.544414388
SLPI,-3.124651393
SLC4A9,-2.109052864
SLC47A2,-1.975479522
SLC45A3,-1.5804544
SLC22A2,-2.101610807
SLC1A7,-2.37512326
SLAMF7,-1.812818653
SLA2,-1.707026215
SIX3,-4.154382914
SIX2,-2.850088004
SIX1,-1.664212479
SH3TC2,-1.601562109
SH2D2A,-2.225568557
SH2D1A,-2.522860805
SGCA,-2.294377011
SFRP4,-1.830644946
SFRP2,-1.88075373
SERPINA5,-2.078896387
SELENOP,-1.542372502
SAMD11,-2.205132558
SAGE1,-2.721178708
S100P,-5.40415433
S100A8,-1.621929139
S100A2,-1.522922796
S100A12,-1.593302192
RORC,-1.99507025
RN7SL731P,-2.061606394
RGS22,-1.699768957
RDH5,-2.361491656
PYHIN1,-5.343616726
PTPRCAP,-1.878155301
PRRX2,-3.255848011
PRF1,-2.709346703
PPP1R13L,-1.784183334
PPDPFL,-3.437050458
PPBP,-4.553949124
PIRT,-2.010297635
PEDS1-UBE2V1,-4.98876823
PCDHA13,-4.352654398
OTP,-5.60395403
OTOG,-1.998557931
OR2I1P,-1.659143049
OR2A42,-1.569391319
OMD,-1.576971806
OGN,-1.507509331
NXF2,-2.632007723
NOTUM,-1.713876203
NIPAL4,-1.739722517
NFE2,-1.908127467
NDUFS6,-2.718579206
MUSTN1,-1.531154657
MUSK,-1.885408246
MT-ND6,-1.502219971
MTCO2P12,-1.904807694
MRPL45,-4.727869359
MMEL1,-2.429312316
MLPH,-1.685515308
MGP,-1.937610767
MEDAG,-2.43210117
MDFI,-1.735922201
MBOAT1,-1.571769971
MASP1,-1.51622415
MARCO,-1.722643741
MAN2A1,-1.50691776
LRRC9,-1.61149471
LIF,-2.194755861
LHX9,-2.110925363
LHX8,-4.953666207
LGR5,-1.63160111
LCN6,-2.032203346
LCN12,-1.580733826
LCN10,-1.605382128
LCK,-3.867499184
KRT19,-1.763254594
KLRC4,-1.567298107
KLHL30,-2.242512104
KIF19,-2.130541955
KCNH8,-1.591028061
KCNE4,-2.225737953
KCNA6,-6.202741455
JAML,-2.418883149
IRX1,-1.50564105
IP6K3,-1.823697598
IL6,-1.590668147
IL2RB,-2.261592229
IL1RL1,-3.049579193
IL1R2,-2.861048204
IL18RAP,-2.502055845
IL18R1,-1.805929896
IGF2,-1.95356455
IFNA13,-1.754517323
ID3,-1.596420394
HSPA6,-2.007479602
HSPA1B,-1.625357475
HOXD1,-2.040606124
HLA-DQB2,-6.354552661
HLA-DOB,-1.576804644
H4C5,-1.679928802
H3C10,-1.512428552
H2BC8,-1.859742432
H2AC8,-1.813114056
GZMK,-4.353949479
GZMH,-3.29622115
GSX2,-1.961597535
GSDMC,-2.877490441
GRHL3,-1.946624986
GRAP2,-1.535254334
GPRC5A,-1.979783121
GPIHBP1,-1.528398895
GOLGA8K,-2.354447056
GNRH1,-1.522175153
GMNC,-3.096175872
GJC3,-2.019184438
GFI1,-1.982336506
GCOM1,-1.678071674
GBP5,-1.503666641
GALNT15,-1.839798495
GABRE,-2.258717764
G0S2,-1.543626643
FUT3,-1.830589738
FOXJ1,-2.125198632
FOXH1,-3.466609314
FOXD2,-1.899313488
FOXB1,-4.207150611
FMO2,-1.554054241
FLNC,-1.631572796
FEZF1,-2.004198332
FCN3,-3.051924105
FCN1,-2.425638995
FANCB,-1.737277288
FAM81B,-2.934084631
ESM1,-2.220736376
EOMES,-1.932072652
EN2,-1.895966439
EIF4EBP3,-1.823041843
EFHB,-1.969947966
ECM2,-2.098854347
DTHD1,-1.590365595
DNASE1L3,-4.84633312
DMRTA2,-1.546841798
DLX4,-1.837389493
DGKK,-1.994180534
DES,-1.576009368
DCST2,-1.70329977
CYP4F3,-1.515640542
CYP4F12,-2.480131589
CXCR6,-1.710785547
CXCR1,-1.700927052
CXCL8,-1.725312042
CT45A3,-2.480153062
CT45A1,-1.842675326
CST7,-2.260768304
CRIP1,-3.055382988
CR1,-1.799396994
CPB1,-2.289515276
CPA2,-2.347688606
COL8A1,-1.6284207
COL6A2,-1.517547756
COL4A3,-1.614273058
CNGA3,-2.070246348
CLCA2,-1.618720197
CKLF-CMTM1,-3.727514426
CFTR,-1.836003594
CFC1B,-3.180480213
CFAP54,-1.781251295
CFAP47,-1.802780665
CFAP45,-2.522375228
CES1,-1.996238965
CDNF,-1.545014656
CDC42EP5,-2.17140778
CD96,-1.805150698
CD48,-1.784043501
CD44,-1.815618706
CD3E,-1.793695265
CD2,-2.96126323
CD177,-1.674174849
CCR7,-1.547089882
CCL5,-1.519757142
CCL14,-2.816326398
CCDC81,-1.859870423
CCDC80,-2.018997572
CATIP,-1.861587188
CAPS,-1.84063057
CAPN13,-1.506722605
CALCR,-1.859072066
C9orf50,-2.384841137
C7orf57,-1.616445653
C6,-3.314357038
C21orf91,-1.651015119
C1orf158,-1.949249731
C12orf56,-1.72337859
BTBD16,-2.054129348
BMP4,-1.626391199
AZGP1,-1.663890948
ART3,-1.719817141
ARHGAP36,-2.27170811
APOBEC3D,-1.507749608
APOBEC3A,-3.212310507
APLNR,-1.524941198
ANXA13,-2.016324759
ANXA1,-1.855692631
ANKRD1,-2.974325975
ANGPT1,-1.542221621
AL358113.1,-2.383629805
AGTR1,-1.655499647
AGMO,-1.528082716
AEBP1,-1.855865284
ADH1B,-1.946849321
ADAMTS4,-1.626763981
ADAMTS18,-1.793178225
ACY3,-1.50250474
AC008770.4,-2.955448744
AC003002.3,-3.02279122
ABCC3,-1.832059753
ABCA8,-1.553956602
ABCA6,-1.51132315
