#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA12	SULT2B1	9606.ENSP00000272895	9606.ENSP00000201586	0	0	0	0	0.063	0	0	0.480	0.492
ABCA12	TXNIP	9606.ENSP00000272895	9606.ENSP00000462521	0	0	0	0	0	0	0	0.431	0.431
ABCA12	ID3	9606.ENSP00000272895	9606.ENSP00000363689	0	0	0	0	0	0	0	0.554	0.554
ABCA12	ALOX12B	9606.ENSP00000272895	9606.ENSP00000315167	0	0	0	0	0.066	0	0	0.759	0.765
ABCA12	NIPAL4	9606.ENSP00000272895	9606.ENSP00000311687	0	0	0	0	0.062	0	0	0.855	0.858
ABCA6	ABCC3	9606.ENSP00000284425	9606.ENSP00000285238	0	0	0	0	0.083	0.135	0	0.429	0.507
ABCA6	ABCA8	9606.ENSP00000284425	9606.ENSP00000467271	0	0	0	0.960	0.291	0.368	0	0.923	0.550
ABCA8	SPARCL1	9606.ENSP00000467271	9606.ENSP00000414856	0	0	0	0	0.152	0	0	0.342	0.418
ABCA8	ENC1	9606.ENSP00000467271	9606.ENSP00000479101	0	0	0	0	0.062	0	0	0.432	0.444
ABCC12	ABCF2	9606.ENSP00000311030	9606.ENSP00000222388	0	0	0	0	0.063	0	0	0.605	0.614
ABCC3	HNF4A	9606.ENSP00000285238	9606.ENSP00000312987	0	0	0	0	0.087	0	0	0.371	0.401
ABCC3	SLC47A2	9606.ENSP00000285238	9606.ENSP00000326671	0	0	0	0	0.063	0.061	0	0.413	0.438
ABCC3	SLC22A2	9606.ENSP00000285238	9606.ENSP00000355920	0	0	0	0	0.063	0.064	0	0.428	0.455
ACTR2	BMP4	9606.ENSP00000367220	9606.ENSP00000245451	0	0	0	0	0	0	0	0.464	0.464
ACTR2	EPN3	9606.ENSP00000367220	9606.ENSP00000268933	0	0	0	0	0.049	0.060	0	0.400	0.416
ACTR2	PAK1	9606.ENSP00000367220	9606.ENSP00000278568	0	0	0	0	0.062	0.148	0	0.390	0.470
ACTR2	CORO6	9606.ENSP00000367220	9606.ENSP00000344562	0	0	0	0	0.065	0.246	0	0.334	0.489
ACTR2	IQGAP3	9606.ENSP00000367220	9606.ENSP00000354451	0	0	0	0	0.057	0.171	0	0.371	0.465
ACTR2	FCGR1A	9606.ENSP00000367220	9606.ENSP00000358165	0	0	0	0	0	0	0.900	0	0.900
ADAMDEC1	LCN6	9606.ENSP00000256412	9606.ENSP00000339621	0	0	0	0	0	0	0	0.402	0.402
ADAMDEC1	SERPINB2	9606.ENSP00000256412	9606.ENSP00000401645	0	0	0	0	0	0	0	0.445	0.445
